Start Node Label,Start Node Attribute Name,Start Node Attribute Value,Graph Element,Attribute Name,Attribute Value,Relation Name,Relation Attribute Name,Relation Attribute Value,End Node Label,End Node Attribute Name,End Node Attribute Value,Record Tag
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,febrile illness,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,severely compromised children,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PastHistory,name,necrotising gingivitis,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PersonalAndSocialHistory,name,smoking,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,ulcerations on the dental papillae,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,ulcerations on marginal gingiva,acute necrotizing ulcerative gingivitis
Symptom,name,halitosis,Attribute,synonym,"fetor oris, foul breath",,,,,,,acute necrotizing ulcerative gingivitis
Symptom,name,gingival pain,Attribute,synonym,pain in gums,,,,,,,acute necrotizing ulcerative gingivitis
Attribute,name,acute,Relation,,,hasCategory,,,AttributeCategory,name,onset,acute necrotizing ulcerative gingivitis
Attribute,name,abrupt,Relation,,,associatedWith,,,Disease,name,acute necrotizing ulcerative gingivitis,acute necrotizing ulcerative gingivitis
Attribute,name,acute,Relation,,,associatedWith,,,Disease,name,acute necrotizing ulcerative gingivitis,acute necrotizing ulcerative gingivitis
Symptom,name,gingival pain,Relation,,,hasAttribute,,,Attribute,name,abrupt,acute necrotizing ulcerative gingivitis
Symptom,name,gingival pain,Relation,,,hasAttribute,,,Attribute,name,acute,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasSymptom,,,Symptom,name,pain while talking,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasSymptom,,,Symptom,name,dysphagia,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasSymptom,,,Symptom,name,excessive salivation,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasSymptom,,,Symptom,name,malaise,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PersonalAndSocialHistory,name,sleep deprivation,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasSymptom,,,Symptom,name,halitosis,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasSymptom,,,Symptom,name,gingival pain,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasSymptom,,,Symptom,name,gingival pain,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,bright red colour of the gingiva,acute necrotizing ulcerative gingivitis
Attribute,name,abrupt,Relation,,,hasCategory,,,AttributeCategory,name,onset,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,regional lymphadenopathy,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,ulcerations are covered by a gray pseudomembrane,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasExamination,,,Examination,name,ulcerations with a punched out appearance,acute necrotizing ulcerative gingivitis
Symptom,name,dysphagia,Attribute,synonym,painful swallowing,,,,,,,acute necrotizing ulcerative gingivitis
Symptom,name,gingival bleeding,Attribute,synonym,bleeding from gums,,,,,,,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,hasSymptom,,,Symptom,name,gingival bleeding,acute necrotizing ulcerative gingivitis
Disease,name,acute necrotizing ulcerative gingivitis,Relation,,,historyOf,,,PersonalAndSocialHistory,name,live in close proximity to livestock,acute necrotizing ulcerative gingivitis
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,working in crowded places,covid-19
Attribute,name,chills,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Symptom,name,vomiting,Relation,,,hasAttribute,,,Attribute,name,1 to 2 days,covid-19
Symptom,name,nausea,Relation,,,hasAttribute,,,Attribute,name,1 to 2 days,covid-19
Symptom,name,dyspnea,Relation,,,hasAttribute,,,Attribute,name,5 to 8 days,covid-19
Symptom,name,sputum production,Relation,,,hasAttribute,,,Attribute,name,bloody,covid-19
Symptom,name,sputum production,Relation,,,hasAttribute,,,Attribute,name,clear,covid-19
Symptom,name,cough,Relation,,,hasAttribute,,,Attribute,name,persistent,covid-19
Symptom,name,cough,Relation,,,hasAttribute,,,Attribute,name,productive,covid-19
Symptom,name,cough,Relation,,,hasAttribute,,,Attribute,name,dry,covid-19
Symptom,name,fever,Relation,,,hasAttribute,,,Attribute,name,rigors,covid-19
Symptom,name,fever,Relation,,,hasAttribute,,,Attribute,name,chills,covid-19
Attribute,name,rigors,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,dysgeusia,covid-19
Attribute,name,dry,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Attribute,name,persistent,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,travel to italy 14 days prior to symptom onset,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,travel to hong kong 14 days prior to symptom onset,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,travel to south korea 14 days prior to symptom onset,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,travel to japan 14 days prior to symptom onset,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,travel to iran 14 days prior to symptom onset,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,close contact with covid-19 case in the 14 days prior to symptom onset,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,close contact with covid-19 case,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,living facility resident,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,living in prison,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,living in crowded places,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,travel to china 14 days prior to symptom onset,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,hospital worker,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,eating bats,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,veterinarian,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,working in wet market 14 days prior to symptom onset,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,residents in affected area,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,travel to affected area,covid-19
Disease,name,covid-19,Relation,,,hasExamination,,,Examination,name,fever,covid-19
Disease,name,covid-19,Relation,,,hasExamination,,,Examination,name,bronchial breath sounds,covid-19
Disease,name,covid-19,Relation,,,hasExamination,,,Examination,name,tachypnoea,covid-19
Disease,name,covid-19,Relation,,,hasExamination,,,Examination,name,tachycardia,covid-19
Disease,name,covid-19,Relation,,,hasExamination,,,Examination,name,cyanosis,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PersonalAndSocialHistory,name,eating raw meats,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,FamilyHistory,name,covid-19 case in last 14 days,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,DrugHistory,name,corticosteroid,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,immunocompromised,covid-19
Attribute,name,clear,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Attribute,name,bloody,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Attribute,name,5 to 8 days,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Attribute,name,1 to 2 days,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Attribute,name,1 to 2 days,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Attribute,name,chills,Relation,,,hasCategory,,,AttributeCategory,name,associated with,covid-19
Attribute,name,rigors,Relation,,,hasCategory,,,AttributeCategory,name,associated with,covid-19
Attribute,name,dry,Relation,,,hasCategory,,,AttributeCategory,name,quality,covid-19
Attribute,name,productive,Relation,,,hasCategory,,,AttributeCategory,name,quality,covid-19
Attribute,name,persistent,Relation,,,hasCategory,,,AttributeCategory,name,duration,covid-19
Attribute,name,clear,Relation,,,hasCategory,,,AttributeCategory,name,quality,covid-19
Attribute,name,bloody,Relation,,,hasCategory,,,AttributeCategory,name,quality,covid-19
Attribute,name,5 to 8 days,Relation,,,hasCategory,,,AttributeCategory,name,duration,covid-19
Attribute,name,1 to 2 days,Relation,,,hasCategory,,,AttributeCategory,name,duration,covid-19
Attribute,name,1 to 2 days,Relation,,,hasCategory,,,AttributeCategory,name,duration,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,hypertension,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,hypertension,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,diabetes mellitus,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,cardiovascular disease,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,chronic heart disease,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,chronic respiratory disease,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,asthma,covid-19
Disease,name,covid-19,Relation,,,historyOf,,,PastHistory,name,cancer,covid-19
Attribute,name,productive,Relation,,,associatedWith,,,Disease,name,covid-19,covid-19
Disease,name,covid-19,Relation,,,hasExamination,,,Examination,name,crackles on auscultation,covid-19
Disease,name,covid-19,Relation,,,hasExamination,,,Examination,name,rales on auscultation,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,nausea,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,sore throat,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,headache,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,myalgia,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,arthralgia,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,chills,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,vomiting,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,nasal congestion,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,hemoptysis,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,malaise,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,dyspnea,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,anorexia,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,confusion,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,dizziness,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,headache,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,rhinorrhea,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,chest pain,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,abdominal pain,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,dyspnoea,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,anosmia,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,ageusia,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,conjunctival congestion,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,sputum production,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,dyspnea,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,fatigue,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,fever,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,fever,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,cough,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,cough,covid-19
Symptom,name,sputum production,Attribute,synonym,hemoptysis,,,,,,,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,sputum production,covid-19
Symptom,name,arthralgia,Attribute,synonym,joint pain,,,,,,,covid-19
Symptom,name,conjunctival congestion,Attribute,synonym,"bloodshot eyes, conjunctival congestion",,,,,,,covid-19
Symptom,name,fatigue,Attribute,synonym,tired,,,,,,,covid-19
Symptom,name,anosmia,Attribute,synonym,altered sense of smell,,,,,,,covid-19
Symptom,name,dyspnea,Attribute,synonym,difficulty breathing,,,,,,,covid-19
Symptom,name,malaise,Attribute,synonym,feeling unwell,,,,,,,covid-19
Symptom,name,myalgia,Attribute,synonym,"muscle pain, muscle ache",,,,,,,covid-19
Symptom,name,nasal congestion,Attribute,synonym,nasal congestion,,,,,,,covid-19
Symptom,name,ageusia,Attribute,synonym,altered taste,,,,,,,covid-19
Disease,name,covid-19,Relation,,,hasSymptom,,,Symptom,name,cough,covid-19
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,hematemesis,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,abnormal vaginal bleeding,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,gingival bleeding,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,melena,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,seizures,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,cough,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,vomiting,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,sore throat,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,epistaxis,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,dyspnea,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,dry mouth,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,oliguria,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,prolonged bleeding from a venipuncture site,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,abnormal vaginal bleeding,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,melena,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,febrile seizures,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,retro orbital pain,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,hematemesis,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,gingival bleeding,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,epistaxis,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,retro orbital pain,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,abdominal pain,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,anorexia,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,myalgia,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,bone pain,dengue fever/dengue hemorrhagic fever
Symptom,name,retro orbital pain,Relation,,,hasAttribute,,,Attribute,name,little pressure applied to the eyeball,dengue fever/dengue hemorrhagic fever
Symptom,name,retro orbital pain,Relation,,,hasAttribute,,,Attribute,name,eye movement,dengue fever/dengue hemorrhagic fever
Symptom,name,headache,Relation,,,hasAttribute,,,Attribute,name,forehead,dengue fever/dengue hemorrhagic fever
Symptom,name,headache,Relation,,,hasAttribute,,,Attribute,name,persistent,dengue fever/dengue hemorrhagic fever
Symptom,name,vomiting,Relation,,,hasAttribute,,,Attribute,name,persistent,dengue fever/dengue hemorrhagic fever
Symptom,name,abdominal pain,Relation,,,hasAttribute,,,Attribute,name,severe,dengue fever/dengue hemorrhagic fever
Symptom,name,retro orbital pain,Relation,,,hasAttribute,,,Attribute,name,severe,dengue fever/dengue hemorrhagic fever
Symptom,name,retro orbital pain,Relation,,,hasAttribute,,,Attribute,name,applying pressure to eye,dengue fever/dengue hemorrhagic fever
Symptom,name,retro orbital pain,Relation,,,hasAttribute,,,Attribute,name,eye movement,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,right lower quadrant abdominal pain,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,right upper quadrant abdominal pain,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,diarrhoea,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,chest discomfort,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,"fatigue, tiredness, lethargy",dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,fatigue,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,abnormal vaginal bleeding,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,restlessness,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,confusion,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,fatigue,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,restlessness,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,fatigue,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,impaired taste,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,aches and pains in body,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,dizziness,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,lethargy,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,dizziness on standing up,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,dark urine,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,oliguria,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,dry tongue,dengue fever/dengue hemorrhagic fever
Symptom,name,diarrhoea,Relation,,,hasAttribute,,,Attribute,name,watery,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,malaise,dengue fever/dengue hemorrhagic fever
Attribute,name,eye movement,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,anorexia,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,back pain,dengue fever/dengue hemorrhagic fever
Attribute,name,forehead,Relation,,,hasCategory,,,AttributeCategory,name,location,dengue fever/dengue hemorrhagic fever
Attribute,name,persistent,Relation,,,hasCategory,,,AttributeCategory,name,frequency,dengue fever/dengue hemorrhagic fever
Attribute,name,persistent,Relation,,,hasCategory,,,AttributeCategory,name,duration,dengue fever/dengue hemorrhagic fever
Attribute,name,severe,Relation,,,hasCategory,,,AttributeCategory,name,severity,dengue fever/dengue hemorrhagic fever
Attribute,name,severe,Relation,,,hasCategory,,,AttributeCategory,name,severity,dengue fever/dengue hemorrhagic fever
Attribute,name,applying pressure to eye,Relation,,,hasCategory,,,AttributeCategory,name,aggravated by,dengue fever/dengue hemorrhagic fever
Attribute,name,eye movement,Relation,,,hasCategory,,,AttributeCategory,name,aggravated by,dengue fever/dengue hemorrhagic fever
Attribute,name,watery,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Attribute,name,little pressure applied to the eyeball,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Attribute,name,eye movement,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Attribute,name,forehead,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Attribute,name,persistent,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Attribute,name,persistent,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Attribute,name,severe,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Attribute,name,severe,Relation,,,associatedWith,,,Disease,name,dengue fever/dengue hemorrhagic fever,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,arthralgia,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,headache,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,headache,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,retro orbital pain,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,retro orbital pain,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,pleuritic chest pain,dengue fever/dengue hemorrhagic fever
Disease,name,dengue fever/dengue hemorrhagic fever,Relation,,,hasSymptom,,,Symptom,name,dyspnea,dengue fever/dengue hemorrhagic fever
